mode,question_id,answer_option,scenario,answer_text,competency_weights,competency_1_code,competency_1_label,competency_1_outcome,competency_1_weight,competency_2_code,competency_2_label,competency_2_outcome,competency_2_weight,competency_3_code,competency_3_label,competency_3_outcome,competency_3_weight
detailed,3,C,"You have to learn something completely new on your own - no teacher, no class. Where would you start?","Try, mess up, adjust, and keep going.",OT.Creat.1=1; LL.SM.3=1; OT.PS.2=1,OT.Creat.1,Creative Process,OT,1,LL.SM.3,Self-Regulation,LL,1,OT.PS.2,Problem Solving,OT,1
detailed,3,D,"You have to learn something completely new on your own - no teacher, no class. Where would you start?",Talk to someone who already knows the terrain.,LL.SD.3=1; GC.IS.3=1; FL.ID.3=1,LL.SD.3,Self-Advocacy,LL,1,GC.IS.3,Building Empathy,GC,1,FL.ID.3,Critical Dialogue,FL,1
detailed,4,A,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Learn their view so I can speak to it fairly.,FL.ID.2=1; OT.Crit.2=1; GC.IS.3=1,FL.ID.2,Persuasive Communication,FL,1,OT.Crit.2,Logical Thinking,OT,1,GC.IS.3,Building Empathy,GC,1
detailed,4,B,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Use proof they are likely to trust.,FL.ID.3=1; OT.Crit.1=1; FL.ID.2=1,FL.ID.3,Critical Dialogue,FL,1,OT.Crit.1,Interpreting Information,OT,1,FL.ID.2,Persuasive Communication,FL,1
detailed,4,C,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Begin with what we both care about.,GC.IS.2=1; GC.SA.1=1; GC.IS.1=1,GC.IS.2,Negotiating Conflict,GC,1,GC.SA.1,Diverse Perspectives,GC,1,GC.IS.1,Healthy Relationships,GC,1
detailed,4,D,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Use visuals or stories so the idea clicks.,FL.ID.2=1; FL.MST.3=1; FK.AC.1=1,FL.ID.2,Persuasive Communication,FL,1,FL.MST.3,Interpreting Data,FL,1,FK.AC.1,Artistic Expression,FK,1
detailed,5,A,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,Help them find out what is really going on.,FK.SS.1=1; FK.SS.3=1; OT.PS.1=1,FK.SS.1,Governments,FK,1,FK.SS.3,Economics,FK,1,OT.PS.1,Problem Seeking,OT,1
detailed,5,B,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,Connect them with people who can help.,GC.SAg.1=1; GC.IS.1=1; LL.SD.3=1,GC.SAg.1,Community Advocacy,GC,1,GC.IS.1,Healthy Relationships,GC,1,LL.SD.3,Self-Advocacy,LL,1
detailed,5,C,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,See who else is affected and rally support.,GC.SAg.2=1; GC.IS.4=1; GC.SAg.1=1,GC.SAg.2,Community Mobilization,GC,1,GC.IS.4,Productive Collaboration,GC,1,GC.SAg.1,Community Advocacy,GC,1
detailed,5,D,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,"Listen first, then help them choose a next move.",GC.IS.3=1; LL.SAw.2=1; GC.IS.2=1,GC.IS.3,Building Empathy,GC,1,LL.SAw.2,Recognizing Conflict,LL,1,GC.IS.2,Negotiating Conflict,GC,1
detailed,6,A,You are given a creative challenge with no rules - just a blank page. Where would you start?,Make a lot of ideas before judging any of them.,OT.Creat.1=1; OT.PS.2=1,OT.Creat.1,Creative Process,OT,1,OT.PS.2,Problem Solving,OT,1,,,,
detailed,6,B,You are given a creative challenge with no rules - just a blank page. Where would you start?,Hunt for inspiration in unexpected places.,FK.AC.2=1; FK.SS.4=1; OT.Creat.1=1,FK.AC.2,Art Analysis,FK,1,FK.SS.4,Cultures,FK,1,OT.Creat.1,Creative Process,OT,1
detailed,6,C,You are given a creative challenge with no rules - just a blank page. Where would you start?,Show an early version and let feedback shape it.,OT.Creat.2=1; GC.IS.4=1; LL.SM.1=1,OT.Creat.2,Sharing Ideas,OT,1,GC.IS.4,Productive Collaboration,GC,1,LL.SM.1,Receiving Feedback,LL,1
detailed,6,D,You are given a creative challenge with no rules - just a blank page. Where would you start?,Picture the audience and the feeling I want to create.,FK.AC.1=1; FL.ID.2=1; GC.IS.3=1,FK.AC.1,Artistic Expression,FK,1,FL.ID.2,Persuasive Communication,FL,1,GC.IS.3,Building Empathy,GC,1
detailed,7,A,You get feedback on your work that you partly disagree with. What would you do first?,Keep the useful parts and let the rest go.,LL.SM.1=1; OT.Crit.2=1; LL.SAw.3=1,LL.SM.1,Receiving Feedback,LL,1,OT.Crit.2,Logical Thinking,OT,1,LL.SAw.3,Understanding Self,LL,1
detailed,7,B,You get feedback on your work that you partly disagree with. What would you do first?,Ask questions until I understand their point.,GC.IS.3=1; FL.ID.3=1; GC.IS.2=1,GC.IS.3,Building Empathy,GC,1,FL.ID.3,Critical Dialogue,FL,1,GC.IS.2,Negotiating Conflict,GC,1
detailed,7,C,You get feedback on your work that you partly disagree with. What would you do first?,Sit with it. The annoying part might matter.,LL.SM.3=1; LL.SAw.2=1; LL.SD.2=1,LL.SM.3,Self-Regulation,LL,1,LL.SAw.2,Recognizing Conflict,LL,1,LL.SD.2,Wayfinding,LL,1
detailed,7,D,You get feedback on your work that you partly disagree with. What would you do first?,"Revise, share again, and see what lands.",OT.Creat.2=1; LL.SM.1=1; OT.PS.2=1,OT.Creat.2,Sharing Ideas,OT,1,LL.SM.1,Receiving Feedback,LL,1,OT.PS.2,Problem Solving,OT,1
detailed,8,A,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,Look for what people actually agree on.,OT.Crit.3=1; GC.SA.1=1; GC.IS.2=1,OT.Crit.3,Synthesis,OT,1,GC.SA.1,Diverse Perspectives,GC,1,GC.IS.2,Negotiating Conflict,GC,1
detailed,8,B,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,Notice who has power and who is being missed.,GC.SA.2=1; GC.SAg.1=1; FK.SS.2=1,GC.SA.2,Navigating Power,GC,1,GC.SAg.1,Community Advocacy,GC,1,FK.SS.2,Politics,FK,1
detailed,8,C,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,Remix the best parts into a new option.,OT.Crit.3=1; OT.Creat.1=1; OT.PS.2=1,OT.Crit.3,Synthesis,OT,1,OT.Creat.1,Creative Process,OT,1,OT.PS.2,Problem Solving,OT,1
detailed,8,D,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,Stay curious and leave knowing something new.,FK.SS.4=1; FL.ID.1=1; LL.SD.1=1,FK.SS.4,Cultures,FK,1,FL.ID.1,Making Meaning,FL,1,LL.SD.1,Self-Motivation,LL,1
detailed,9,A,You have unstructured free time. What do you usually choose first?,"Follow a curiosity: book, podcast, video, rabbit hole.",LL.SD.1=1; FK.SS.4=1; FK.AC.2=1,LL.SD.1,Self-Motivation,LL,1,FK.SS.4,Cultures,FK,1,FK.AC.2,Art Analysis,FK,1
detailed,9,B,You have unstructured free time. What do you usually choose first?,"Make something: food, art, writing, whatever has a spark.",FK.AC.1=1; OT.Creat.1=1; OT.Creat.2=1,FK.AC.1,Artistic Expression,FK,1,OT.Creat.1,Creative Process,OT,1,OT.Creat.2,Sharing Ideas,OT,1
detailed,9,C,You have unstructured free time. What do you usually choose first?,Spend time with people. Connection refuels me.,GC.IS.1=1; GC.IS.3=1; LL.SAw.1=1,GC.IS.1,Healthy Relationships,GC,1,GC.IS.3,Building Empathy,GC,1,LL.SAw.1,Wellness,LL,1
detailed,9,D,You have unstructured free time. What do you usually choose first?,"Reflect, reset, and think about where I am headed.",LL.SAw.1=1; LL.SAw.3=1; LL.SM.2=1,LL.SAw.1,Wellness,LL,1,LL.SAw.3,Understanding Self,LL,1,LL.SM.2,Pursuing Goals,LL,1
detailed,10,A,You are working with numbers or data that do not immediately make sense to you. Where would you start?,Sketch it as a chart so the pattern pops.,FL.MST.3=1; FL.MST.2=1; FK.AC.1=1,FL.MST.3,Interpreting Data,FL,1,FL.MST.2,Mathematical Modeling,FL,1,FK.AC.1,Artistic Expression,FK,1
detailed,10,B,You are working with numbers or data that do not immediately make sense to you. Where would you start?,Ask what question the numbers are answering.,OT.PS.1=1; FL.ID.1=1; OT.Crit.1=1,OT.PS.1,Problem Seeking,OT,1,FL.ID.1,Making Meaning,FL,1,OT.Crit.1,Interpreting Information,OT,1
detailed,10,C,You are working with numbers or data that do not immediately make sense to you. Where would you start?,Check whether I am looking at it the wrong way.,OT.Crit.2=1; FL.MST.1=1; LL.SAw.3=1,OT.Crit.2,Logical Thinking,OT,1,FL.MST.1,Computational Thinking,FL,1,LL.SAw.3,Understanding Self,LL,1
detailed,10,D,You are working with numbers or data that do not immediately make sense to you. Where would you start?,"Shrink the problem, solve that, then build up.",FL.MST.1=1; OT.PS.2=1; FL.MST.4=1,FL.MST.1,Computational Thinking,FL,1,OT.PS.2,Problem Solving,OT,1,FL.MST.4,Scientific Investigation,FL,1
fast,1,A,You encounter two completely contradictory news articles on the same topic. What would you do first?,"Check what history, rules, or context shaped the issue.",FK.SS.2=1; FK.SS.4=1; FK.SS.1=1,FK.SS.2,Politics,FK,1,FK.SS.4,Cultures,FK,1,FK.SS.1,Governments,FK,1
fast,1,B,You encounter two completely contradictory news articles on the same topic. What would you do first?,Compare the claims and evidence side by side.,FL.ID.1=1; FL.MST.3=1; LL.SD.2=1,FL.ID.1,Making Meaning,FL,1,FL.MST.3,Interpreting Data,FL,1,LL.SD.2,Wayfinding,LL,1
fast,1,C,You encounter two completely contradictory news articles on the same topic. What would you do first?,Look for the assumption each article is building from.,OT.Crit.1=1; OT.Crit.2=1; OT.Crit.3=1,OT.Crit.1,Interpreting Information,OT,1,OT.Crit.2,Logical Thinking,OT,1,OT.Crit.3,Synthesis,OT,1
fast,1,D,You encounter two completely contradictory news articles on the same topic. What would you do first?,Ask people with different experiences how they read it.,GC.SA.1=1; GC.IS.3=1; LL.SAw.3=1,GC.SA.1,Diverse Perspectives,GC,1,GC.IS.3,Building Empathy,GC,1,LL.SAw.3,Understanding Self,LL,1
fast,2,A,You are part of a group working on a community project and things are going off track. Where would you start?,Understand the local context and constraints first.,FK.SS.1=1; FK.SS.3=1; LL.SAw.3=1,FK.SS.1,Governments,FK,1,FK.SS.3,Economics,FK,1,LL.SAw.3,Understanding Self,LL,1
fast,2,B,You are part of a group working on a community project and things are going off track. Where would you start?,Organize what is working and what is not.,FL.ID.1=1; FL.MST.3=1; FL.ID.3=1,FL.ID.1,Making Meaning,FL,1,FL.MST.3,Interpreting Data,FL,1,FL.ID.3,Critical Dialogue,FL,1
fast,2,C,You are part of a group working on a community project and things are going off track. Where would you start?,Reframe the challenge before we keep pushing.,OT.PS.1=1; OT.PS.2=1; LL.SM.3=1,OT.PS.1,Problem Seeking,OT,1,OT.PS.2,Problem Solving,OT,1,LL.SM.3,Self-Regulation,LL,1
fast,2,D,You are part of a group working on a community project and things are going off track. Where would you start?,"Bring everyone back to needs, roles, and trust.",GC.IS.1=1; GC.IS.4=1; GC.IS.2=1,GC.IS.1,Healthy Relationships,GC,1,GC.IS.4,Productive Collaboration,GC,1,GC.IS.2,Negotiating Conflict,GC,1
fast,3,A,"You have to learn something completely new on your own - no teacher, no class. Where would you start?","Build background through examples, culture, and context.",FK.SS.4=1; FK.AC.2=1; FK.SS.3=1,FK.SS.4,Cultures,FK,1,FK.AC.2,Art Analysis,FK,1,FK.SS.3,Economics,FK,1
fast,3,B,"You have to learn something completely new on your own - no teacher, no class. Where would you start?","Break the topic into terms, patterns, and resources.",FL.ID.1=1; FL.MST.1=1; GC.IS.3=1,FL.ID.1,Making Meaning,FL,1,FL.MST.1,Computational Thinking,FL,1,GC.IS.3,Building Empathy,GC,1
fast,3,C,"You have to learn something completely new on your own - no teacher, no class. Where would you start?","Try a small version, see what fails, and revise.",OT.Creat.1=1; OT.PS.2=1; GC.SA.1=1,OT.Creat.1,Creative Process,OT,1,OT.PS.2,Problem Solving,OT,1,GC.SA.1,Diverse Perspectives,GC,1
fast,3,D,"You have to learn something completely new on your own - no teacher, no class. Where would you start?","Map what I know, what I need, and how I will keep going.",LL.SD.2=1; LL.SD.1=1; LL.SM.2=1,LL.SD.2,Wayfinding,LL,1,LL.SD.1,Self-Motivation,LL,1,LL.SM.2,Pursuing Goals,LL,1
fast,4,A,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Study the context before I decide what to emphasize.,FK.SS.2=1; FK.SS.1=1; LL.SAw.1=1,FK.SS.2,Politics,FK,1,FK.SS.1,Governments,FK,1,LL.SAw.1,Wellness,LL,1
fast,4,B,You are presenting to an audience that might disagree with your position. How would you begin preparing?,"Shape the evidence into a clear, persuasive story.",FL.ID.2=1; FL.ID.3=1; FL.MST.3=1,FL.ID.2,Persuasive Communication,FL,1,FL.ID.3,Critical Dialogue,FL,1,FL.MST.3,Interpreting Data,FL,1
fast,4,C,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Find the strongest counterargument and rethink my approach.,OT.Crit.2=1; OT.Crit.1=1; OT.Crit.3=1,OT.Crit.2,Logical Thinking,OT,1,OT.Crit.1,Interpreting Information,OT,1,OT.Crit.3,Synthesis,OT,1
fast,4,D,You are presenting to an audience that might disagree with your position. How would you begin preparing?,Start from shared values and respect for the room.,GC.IS.3=1; GC.SA.1=1; LL.SM.3=1,GC.IS.3,Building Empathy,GC,1,GC.SA.1,Diverse Perspectives,GC,1,LL.SM.3,Self-Regulation,LL,1
fast,5,A,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,"Learn what systems, money, or rules are shaping it.",FK.SS.1=1; FK.SS.3=1; FK.SS.2=1,FK.SS.1,Governments,FK,1,FK.SS.3,Economics,FK,1,FK.SS.2,Politics,FK,1
fast,5,B,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,Turn the facts into something clear and usable.,FL.ID.1=1; FL.ID.2=1; LL.SAw.2=1,FL.ID.1,Making Meaning,FL,1,FL.ID.2,Persuasive Communication,FL,1,LL.SAw.2,Recognizing Conflict,LL,1
fast,5,C,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,Look for the root problem before jumping to a fix.,OT.PS.1=1; OT.PS.2=1; LL.SD.3=1,OT.PS.1,Problem Seeking,OT,1,OT.PS.2,Problem Solving,OT,1,LL.SD.3,Self-Advocacy,LL,1
fast,5,D,A friend or colleague is facing a situation that feels unfair. Where would you start supporting them?,Connect them to people who can act together.,GC.SAg.1=1; GC.SAg.2=1; GC.IS.4=1,GC.SAg.1,Community Advocacy,GC,1,GC.SAg.2,Community Mobilization,GC,1,GC.IS.4,Productive Collaboration,GC,1
fast,6,A,You are given a creative challenge with no rules - just a blank page. Where would you start?,"Look at art, culture, and examples before making my move.",FK.AC.2=1; FK.AC.1=1; FK.SS.4=1,FK.AC.2,Art Analysis,FK,1,FK.AC.1,Artistic Expression,FK,1,FK.SS.4,Cultures,FK,1
fast,6,B,You are given a creative challenge with no rules - just a blank page. Where would you start?,Turn the idea into a clear message someone can follow.,FL.ID.2=1; FL.ID.1=1; LL.SD.2=1,FL.ID.2,Persuasive Communication,FL,1,FL.ID.1,Making Meaning,FL,1,LL.SD.2,Wayfinding,LL,1
fast,6,C,You are given a creative challenge with no rules - just a blank page. Where would you start?,Generate a pile of possibilities before choosing one.,OT.Creat.1=1; OT.Creat.2=1; OT.PS.2=1,OT.Creat.1,Creative Process,OT,1,OT.Creat.2,Sharing Ideas,OT,1,OT.PS.2,Problem Solving,OT,1
fast,6,D,You are given a creative challenge with no rules - just a blank page. Where would you start?,Share an early version and use reactions to shape it.,GC.IS.3=1; GC.IS.4=1; LL.SM.1=1,GC.IS.3,Building Empathy,GC,1,GC.IS.4,Productive Collaboration,GC,1,LL.SM.1,Receiving Feedback,LL,1
fast,7,A,You get feedback on your work that you partly disagree with. What would you do first?,Compare the feedback with the purpose of the work.,FK.AC.2=1; FK.AC.1=1; GC.IS.1=1,FK.AC.2,Art Analysis,FK,1,FK.AC.1,Artistic Expression,FK,1,GC.IS.1,Healthy Relationships,GC,1
fast,7,B,You get feedback on your work that you partly disagree with. What would you do first?,Ask clarifying questions until the feedback is specific.,FL.ID.3=1; FL.ID.1=1; FL.ID.2=1,FL.ID.3,Critical Dialogue,FL,1,FL.ID.1,Making Meaning,FL,1,FL.ID.2,Persuasive Communication,FL,1
fast,7,C,You get feedback on your work that you partly disagree with. What would you do first?,Test whether the feedback points to a stronger idea.,OT.Crit.2=1; OT.Crit.3=1; GC.IS.2=1,OT.Crit.2,Logical Thinking,OT,1,OT.Crit.3,Synthesis,OT,1,GC.IS.2,Negotiating Conflict,GC,1
fast,7,D,You get feedback on your work that you partly disagree with. What would you do first?,Separate my reaction from what might help me grow.,LL.SM.1=1; LL.SM.3=1; LL.SAw.3=1,LL.SM.1,Receiving Feedback,LL,1,LL.SM.3,Self-Regulation,LL,1,LL.SAw.3,Understanding Self,LL,1
fast,8,A,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,"Notice the history, rules, and culture under the disagreement.",FK.SS.1=1; FK.SS.2=1; FK.SS.4=1,FK.SS.1,Governments,FK,1,FK.SS.2,Politics,FK,1,FK.SS.4,Cultures,FK,1
fast,8,B,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,Track the strongest evidence and what each claim means.,FL.ID.1=1; FL.ID.3=1; LL.SD.2=1,FL.ID.1,Making Meaning,FL,1,FL.ID.3,Critical Dialogue,FL,1,LL.SD.2,Wayfinding,LL,1
fast,8,C,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,Combine the best parts into a better option.,OT.Crit.3=1; OT.Creat.1=1; LL.SD.1=1,OT.Crit.3,Synthesis,OT,1,OT.Creat.1,Creative Process,OT,1,LL.SD.1,Self-Motivation,LL,1
fast,8,D,You are at a community meeting where different groups have very different ideas about how to solve a local problem. What would you pay attention to first?,"Pay attention to power, voice, conflict, and trust.",GC.SA.2=1; GC.SA.1=1; GC.IS.2=1,GC.SA.2,Navigating Power,GC,1,GC.SA.1,Diverse Perspectives,GC,1,GC.IS.2,Negotiating Conflict,GC,1
fast,9,A,You have unstructured free time. What do you usually choose first?,"Explore a topic, place, or story I am curious about.",FK.SS.4=1; FK.AC.2=1; GC.IS.1=1,FK.SS.4,Cultures,FK,1,FK.AC.2,Art Analysis,FK,1,GC.IS.1,Healthy Relationships,GC,1
fast,9,B,You have unstructured free time. What do you usually choose first?,"Read, watch, or listen until I can explain something new.",FL.ID.1=1; FL.ID.2=1; GC.IS.3=1,FL.ID.1,Making Meaning,FL,1,FL.ID.2,Persuasive Communication,FL,1,GC.IS.3,Building Empathy,GC,1
fast,9,C,You have unstructured free time. What do you usually choose first?,Make something just to see what happens.,OT.Creat.1=1; OT.Creat.2=1; OT.PS.2=1,OT.Creat.1,Creative Process,OT,1,OT.Creat.2,Sharing Ideas,OT,1,OT.PS.2,Problem Solving,OT,1
fast,9,D,You have unstructured free time. What do you usually choose first?,"Rest, reset, and check in with where I am headed.",LL.SAw.1=1; LL.SAw.3=1; LL.SM.2=1,LL.SAw.1,Wellness,LL,1,LL.SAw.3,Understanding Self,LL,1,LL.SM.2,Pursuing Goals,LL,1
fast,10,A,You are working with numbers or data that do not immediately make sense to you. Where would you start?,Ask what real-world context the numbers came from.,FK.SS.3=1; FK.SS.1=1; LL.SD.2=1,FK.SS.3,Economics,FK,1,FK.SS.1,Governments,FK,1,LL.SD.2,Wayfinding,LL,1
fast,10,B,You are working with numbers or data that do not immediately make sense to you. Where would you start?,"Chart it, model it, or break it into smaller pieces.",FL.MST.3=1; FL.MST.2=1; FL.MST.1=1,FL.MST.3,Interpreting Data,FL,1,FL.MST.2,Mathematical Modeling,FL,1,FL.MST.1,Computational Thinking,FL,1
fast,10,C,You are working with numbers or data that do not immediately make sense to you. Where would you start?,Question the frame and look for a different angle.,OT.Crit.2=1; OT.PS.1=1; LL.SM.3=1,OT.Crit.2,Logical Thinking,OT,1,OT.PS.1,Problem Seeking,OT,1,LL.SM.3,Self-Regulation,LL,1
fast,10,D,You are working with numbers or data that do not immediately make sense to you. Where would you start?,Talk it through with someone who sees patterns differently.,GC.SA.1=1; GC.IS.3=1; GC.IS.4=1,GC.SA.1,Diverse Perspectives,GC,1,GC.IS.3,Building Empathy,GC,1,GC.IS.4,Productive Collaboration,GC,1
